created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 01 07:10:02 +0000 2023;1730484385210925481;"Zee dah berkahwin sebanyak 6 kali. After that dia kawin ngan NN, bff dia. Kahwin selama 6 bulan dan diambang perceraian diorang berdua, Nunew buat segalanya untuk pertahankan perkahwinan diorang.  Pair : #Zeenunew Language : Bhs. Indonesia Rate : 💫/⭐  https://t.co/kUEsWUUgWI";5;3;0;0;in;1431041826815836160;1578991868054245376;Readocrystal;https://twitter.com/Readocrystal/status/1730484385210925481
Fri Dec 01 06:44:48 +0000 2023;1730478032501244030;"Teman2,barangkali ada tau akun ahli hukum perceraian siapa yang bisa d dm?!d tambah anaknya yg masih umur 3th kurang mau di serahin ke org lain dg dalih bapakny ngizinin tanpa sepengetahuan mamtan istrinya";0;1;0;0;in;1209121596704575490;1730478032501244030;nurkholifahasy3;https://twitter.com/nurkholifahasy3/status/1730478032501244030
Fri Dec 01 05:59:18 +0000 2023;1730466581770379274;"setelah perceraian org tua, ternyata tdk sampai disitu cobaanya, aku ditinggal sahabatku meninggal dan 3 bln kemudian aku ditinggal nenek untuk selama-lama nya , ah aku semakin benci tuhan Paul. Dan dua bulan kemudian, aku kecelakaan parah, yang menabrak aku meninggal, aku trauma";0;1;0;0;in;1596636695771742209;1730464392154873900;killmealone4;https://twitter.com/killmealone4/status/1730466581770379274
Fri Dec 01 05:34:09 +0000 2023;1730460252515225809;"@danhrng Yang atas sidang isbat, bawah sidang perceraian?";0;1;0;0;in;2758677844;1730435387733258747;brisbanecubs;https://twitter.com/brisbanecubs/status/1730460252515225809
Fri Dec 01 04:43:07 +0000 2023;1730447409447350304;"️ ️ ️ "Menurut saya, perceraian secara psikologis dapat memengaruhi tumbuh kembang anak apalagi anak yang masih dibawah umur. Belum lagi kalau alasan perceraian melibatkan hal yang melanggar 𝘏𝘈𝘔. Anak berhak bersama dengan orang tua yang mampu menyayanginya." ️ ️ ️";0;0;0;0;in;3069946614;1730447407098593505;ofZandik;https://twitter.com/ofZandik/status/1730447409447350304
Fri Dec 01 04:27:58 +0000 2023;1730443596657283094;"Mamaku selalu bilang kalo gak cerai demi anak, selain karena di masa lalu, mamaku jadi korban perceraian dan ikut ibu tiri gaenaknya kaya apa. Padahal itu bukan solusi, jadinya dari kecil udah liat mereka berantem, teriak-teriak dan banyak lagi.";0;1;0;0;in;345253096;1730443596657283094;Apriliaywn_;https://twitter.com/Apriliaywn_/status/1730443596657283094
Fri Dec 01 04:12:58 +0000 2023;1730439823243231729;"*hbis membahas perceraian krn perselingkuhan : "kalian jadi takut nikah gakk?" : "nikahnya sih enggak bu, tp sama laki²nya iya"";0;0;0;2;in;1553006134856130561;1730439823243231729;tasmoniaa;https://twitter.com/tasmoniaa/status/1730439823243231729
Fri Dec 01 04:11:11 +0000 2023;1730439374268187019;"Pengacara Ungkap Tak Ada Orang Ketiga dalam Perceraian Irish Bella dan Ammar Zoni https://t.co/MtKsCr06nU";0;0;1;1;in;41730943;1730439374268187019;VIVAcoid;https://twitter.com/VIVAcoid/status/1730439374268187019
Fri Dec 01 04:01:14 +0000 2023;1730436868553036238;"Proses perceraian yang masih bergulir antara Hana Hanifah dan Rendy membuat ibunda dari Hana, Yani membeberkan fakta baru. https://t.co/N9dxEaTkFx";0;0;0;0;in;48890883;1730436868553036238;1nserttranstv;https://twitter.com/1nserttranstv/status/1730436868553036238
Fri Dec 01 03:31:12 +0000 2023;1730429310761332966;"keluarga cemara (diambang perceraian) https://t.co/60HTNrDlyu";0;0;0;2;in;1728709076899737600;1730429310761332966;st4arlinked;https://twitter.com/st4arlinked/status/1730429310761332966
